"age","month","year","base_mean","base_lci","base_uci","crisis_mean","crisis_lci","crisis_uci","month_start"
"1to11mo","Oct",2023,0.307434687190721,0.233821699034023,0.382677542457177,5.24539246351066,1.3095085038883,12.9446603089172,2023-10-07
"12to59mo","Oct",2023,1.28614871942604,0.978189811743879,1.60092615339489,21.943304288528,5.47818657571303,54.1517904133948,2023-10-07
"5to9yo","Oct",2023,0.249310690287346,0.189615068237791,0.310328034677095,3.52582701211002,0.936933345619298,9.31408079848026,2023-10-07
"10to14yo","Oct",2023,0.158641689275912,0.120656096626825,0.19746832193239,2.36119068756958,0.616391800457424,6.10836024190511,2023-10-07
"15to19yo","Oct",2023,0.114297261327696,0.0869296177434865,0.142270852629373,1.74548221346731,0.451703047104396,4.46931932051655,2023-10-07
"20to29yo","Oct",2023,0.245585189517126,0.186781611389426,0.305690739217049,3.59980158080703,0.944684450366561,9.37045228124103,2023-10-07
"30to39yo","Oct",2023,0.384992370402647,0.292808762034188,0.479217018472126,5.27687685527563,1.40094978101467,14.1239882118339,2023-10-07
"40to49yo","Oct",2023,0.509431997581306,0.387452230277652,0.6341125221258,6.715799900076,1.77969899753052,18.2861990467969,2023-10-07
"50to59yo","Oct",2023,0.868889308038221,0.66084011578029,1.08154492294199,11.2199997845431,2.97033235853255,30.856175038399,2023-10-07
"60to69yo","Oct",2023,1.33210232459708,1.01314016212892,1.65812663670597,17.0631809771063,4.51543095287023,47.1095810645966,2023-10-07
"70to79yo","Oct",2023,1.81229770711604,1.37835627106858,2.25584705192913,25.0329263224821,6.64831464738946,66.7843119262806,2023-10-07
"80to100yo","Oct",2023,2.63590999265232,2.00476061635938,3.28103366391035,34.1427442187929,9.04016436233905,93.7562113410953,2023-10-07
"0mo","Feb",2024,0.0189769521206029,0.0149124279365079,0.0236923210465022,0.27090687919721,0.0675750928567974,0.721049164882385,2024-02-07
"1to11mo","Feb",2024,0.208749739583451,0.164039273984536,0.260619609363684,2.98002229885936,0.743337652249703,7.9316649185539,2024-02-07
"12to59mo","Feb",2024,0.99695014087797,0.783421227900624,1.24467104384969,14.0231732175191,3.48524852247018,37.3564761610628,2024-02-07
"5to9yo","Feb",2024,0.302082767182997,0.2373820341564,0.377143908949693,3.89499402227737,0.946195527774458,11.049033632916,2024-02-07
"10to14yo","Feb",2024,0.096162936265037,0.0755665529481139,0.120057380357305,1.30052255318686,0.320010390167761,3.5411664523308,2024-02-07
"15to19yo","Feb",2024,0.0965598385593356,0.0758784458603133,0.120552904428866,1.29211987673682,0.317059237850559,3.55035431134275,2024-02-07
"20to29yo","Feb",2024,0.418439338247697,0.328817106022217,0.522412612797139,5.39194312342853,1.30961942417511,15.3036003223789,2024-02-07
"30to39yo","Feb",2024,0.817173350359643,0.642149414796843,1.02022354508377,10.3846530147397,2.51248553634275,29.8292383116374,2024-02-07
"40to49yo","Feb",2024,0.970379949681962,0.762541897070699,1.21149872534027,12.2740946295577,2.9656940675121,35.3990621684098,2024-02-07
"50to59yo","Feb",2024,2.04150328587063,1.60424974670392,2.54877342572962,25.7367037550207,6.21267588137948,74.4393960964503,2024-02-07
"60to69yo","Feb",2024,2.97119645909517,2.33481924810043,3.70947557614836,37.4233544968614,9.03143555728911,108.325522867014,2024-02-07
"70to79yo","Feb",2024,4.51644368632593,3.54910211996106,5.63868386898172,57.3658360180439,13.8772206649509,164.852007012396,2024-02-07
"80to100yo","Feb",2024,5.69946059963715,4.47873794110382,7.11565532021816,71.8888181755291,17.3560615933157,207.834264761068,2024-02-07
"0mo","Jan",2024,0.163306817615233,0.128329414215238,0.203885087944236,2.21049123657279,0.544042141635279,6.01446701437018,2024-01-07
"1to11mo","Jan",2024,1.79640310165355,1.41164564404648,2.24277105948435,24.3157840655084,5.9845571969109,66.1601723503292,2024-01-07
"12to59mo","Jan",2024,7.69079407529798,6.04356335482808,9.60179280510868,103.933845106887,25.5692838958779,283.180189547457,2024-01-07
"5to9yo","Jan",2024,2.85081557253063,2.24022179723383,3.55918260000425,36.3325023420897,8.79748596881171,104.10428738249,2024-01-07
"10to14yo","Jan",2024,0.767101163809349,0.602801796232534,0.957709485306916,10.0913724798948,2.46495280705164,28.1366717415759,2024-01-07
"15to19yo","Jan",2024,0.832849587472637,0.654468081924075,1.0397949936558,10.8542501314408,2.64456390299757,30.5080448156688,2024-01-07
"20to29yo","Jan",2024,2.48155212881167,1.9500479874961,3.0981650454609,31.8401342988735,7.72426586286802,90.7040105471401,2024-01-07
"30to39yo","Jan",2024,5.2898145688017,4.15683077310934,6.60422096467474,67.0621673516289,16.2141804934716,193.030421720782,2024-01-07
"40to49yo","Jan",2024,5.57620481844484,4.38188134668829,6.9617730992858,70.478168972294,17.0253971128984,203.396432755392,2024-01-07
"50to59yo","Jan",2024,10.5901632573247,8.32193944565269,13.2215935537407,133.493874945185,32.2236343579694,386.144093094328,2024-01-07
"60to69yo","Jan",2024,7.48752812125737,5.8838333374727,9.34801958534463,94.3592569612893,22.7753765192865,273.004533883635,2024-01-07
"70to79yo","Jan",2024,11.3789331404543,8.9417689085667,14.2063559741838,145.717117765864,35.3311471953433,415.803519564117,2024-01-07
"80to100yo","Jan",2024,15.4530738635602,12.143301459758,19.2928340022154,195.219757594125,47.1528074430179,563.626270309525,2024-01-07
