"scenario","age","gender","period","mean","lci","uci"
"escalation","15 to 19yo","female","months 1 to 3",1304.0100957319,1153.06720551534,1481.42588221132
"status quo","15 to 19yo","female","months 1 to 3",1020.69004538133,892.238770180258,1165.68900749271
"ceasefire","20 to 29yo","female","months 1 to 3",171.196048313191,153.598530098734,190.906082472631
"escalation","20 to 29yo","female","months 1 to 3",2947.84725608904,2606.18060173534,3348.59408892313
"status quo","20 to 29yo","female","months 1 to 3",2307.22507985049,2016.56313660316,2634.74184024903
"ceasefire","30 to 39yo","female","months 1 to 3",129.220840032824,115.938021249502,144.098211305431
"escalation","30 to 39yo","female","months 1 to 3",2213.86427582413,1954.51965774471,2515.81181130473
"status quo","30 to 39yo","female","months 1 to 3",1730.67491227228,1511.84482164563,1975.65651087935
"ceasefire","40 to 49yo","female","months 1 to 3",71.1526762616097,63.8387777875611,79.3445807679934
"escalation","40 to 49yo","female","months 1 to 3",1200.45845830468,1052.00439530412,1370.36828312334
"status quo","40 to 49yo","female","months 1 to 3",934.90115249629,811.145345058938,1075.76358725807
"ceasefire","50 to 59yo","female","months 1 to 3",57.3257322260164,51.433127653983,63.9257218374743
"escalation","50 to 59yo","female","months 1 to 3",933.569917639688,798.673244763109,1078.39282086822
"status quo","50 to 59yo","female","months 1 to 3",720.034135031505,607.994381452938,841.62193399224
"ceasefire","60 to 69yo","female","months 1 to 3",41.9526819460396,37.6402980331813,46.7827513453276
"escalation","60 to 69yo","female","months 1 to 3",659.563553698585,547.964242906561,778.027786250755
"status quo","60 to 69yo","female","months 1 to 3",503.932453819282,405.823429657881,604.372822342771
"ceasefire","70 to 79yo","female","months 1 to 3",16.4088657673189,14.7221719618012,18.2980408270134
"escalation","70 to 79yo","female","months 1 to 3",200.283481564649,109.243945162845,287.913215829217
"status quo","70 to 79yo","female","months 1 to 3",139.819423039982,52.7127427962227,225.225398189344
"ceasefire","80 to 100yo","female","months 1 to 3",7.89085740024681,7.07974342771815,8.79934255769394
"escalation","80 to 100yo","female","months 1 to 3",42.4013424414118,0,129.330258346336
"status quo","80 to 100yo","female","months 1 to 3",26.3601290189552,0,102.351653972713
"ceasefire","0mo","male","months 4 to 6",0.925355733548807,0.820386761579673,1.04683796576984
"escalation","0mo","male","months 4 to 6",5.72706256936514,0,25.1564884409456
