"age","scenario","subperiod","base_surv","crisis_surv","excess_surv","base_risk_adj","crisis_risk_adj","excess_risk_adj","base_risk_crude","crisis_risk_crude","excess_risk_crude","base_adj","crisis_adj","excess_adj"
"12 to 59mo","escalation","months 1 to 3",0.999953489273247,0.986500163717422,0.986546169476272,4.65107267528797e-05,0.0134998362825782,0.0134538305237276,4.65114295179953e-05,0.0135220561961011,0.0134754325482511,0.999984890485566,0.998356765184183,0.998396932755506
"12 to 59mo","escalation","months 4 to 6",0.999978493293809,0.985050291098369,0.985071626566308,2.15067061912766e-05,0.0149497089016308,0.0149283734336918,2.15068628906823e-05,0.014991050438639,0.0149693939513056,0.999992713981278,0.997242252157223,0.997259707524082
"12 to 59mo","status quo","months 1 to 3",0.999953236017454,0.989532104185703,0.989578574151559,4.67639825458832e-05,0.0104678958142965,0.0104214258484411,4.6764692895487e-05,0.0104810114267323,0.0104340597032835,0.99998481013004,0.998748631033614,0.998789171693313
"12 to 59mo","status quo","months 4 to 6",0.999978379114841,0.98853664780218,0.988558060029239,2.16208851593347e-05,0.0114633521978197,0.0114419399707613,2.162104349337e-05,0.0114864057086786,0.0114647472590745,0.999992676855056,0.997992974352155,0.998010659302131
"15 to 19yo","ceasefire","months 1 to 3",0.999983305110745,0.998645497013979,0.998662677616159,1.66948892553753e-05,0.00135450298602147,0.00133732238384132,1.66950063449326e-05,0.00135506185208579,0.00133785823539148,0.999992986552097,0.999587571546302,0.999599470604594
"15 to 19yo","ceasefire","months 4 to 6",0.999986113699073,0.998235458651708,0.998249489945489,1.38863009272461e-05,0.00176454134829174,0.00175051005451121,1.38863787363657e-05,0.0017655551584064,0.00175149924288691,0.999994396730703,0.999425783946858,0.99943523334097
"15 to 19yo","escalation","months 1 to 3",0.999983305727445,0.984998156483981,0.98501501852263,1.66942725553509e-05,0.0150018435160194,0.0149849814773698,1.66943896355566e-05,0.0150218812458729,0.0150047630142795,0.999992986853174,0.998666097173484,0.998681649494174
"15 to 19yo","escalation","months 4 to 6",0.999986113953301,0.983366683700015,0.983380922830097,1.388604669883e-05,0.0166333162999852,0.0166190771699026,1.38861245045176e-05,0.016677697993644,0.0166632184903985,0.999994396875271,0.997338859734979,0.997350972711465
"15 to 19yo","status quo","months 1 to 3",0.999983280317003,0.988375931158221,0.988393336847021,1.67196829972127e-05,0.0116240688417794,0.0116066631529789,1.67198004568333e-05,0.0116353225684165,0.0116177126998483,0.999992974819233,0.999032796334526,0.999048905136935
"15 to 19yo","status quo","months 4 to 6",0.999986103478097,0.987085880698635,0.987099765531411,1.38965219027565e-05,0.012914119301365,0.0129002344685895,1.38965998439684e-05,0.0129401675319346,0.0129261013953075,0.9999943913466,0.997987025244818,0.99799886091506
