"age","scenario","subperiod","deaths_base","deaths_crisis","deaths_excess"
"60 to 69yo","escalation","months 1 to 3","180 (150 to 220)","2,270 (1,570 to 6,070)","2,090 (1,380 to 5,910)"
"60 to 69yo","status quo","months 1 to 3","180 (150 to 220)","1,820 (1,250 to 4,270)","1,640 (1,060 to 4,100)"
"60 to 69yo","ceasefire","months 4 to 6","180 (150 to 210)","670 (330 to 3,930)","490 (150 to 3,770)"
"60 to 69yo","escalation","months 4 to 6","180 (150 to 210)","2,460 (1,550 to 9,750)","2,280 (1,370 to 9,600)"
"60 to 69yo","status quo","months 4 to 6","180 (150 to 210)","1,950 (1,230 to 7,760)","1,780 (1,050 to 7,610)"
"70 to 79yo","ceasefire","months 1 to 3","230 (190 to 270)","750 (440 to 1,920)","520 (200 to 1,700)"
"70 to 79yo","escalation","months 1 to 3","230 (190 to 270)","1,490 (800 to 4,310)","1,260 (560 to 4,120)"
"70 to 79yo","status quo","months 1 to 3","230 (190 to 270)","1,240 (650 to 3,210)","1,010 (410 to 3,000)"
"70 to 79yo","ceasefire","months 4 to 6","220 (180 to 260)","650 (380 to 2,560)","430 (160 to 2,350)"
"70 to 79yo","escalation","months 4 to 6","220 (180 to 260)","1,470 (780 to 5,600)","1,260 (550 to 5,420)"
"70 to 79yo","status quo","months 4 to 6","220 (180 to 260)","1,200 (630 to 4,480)","980 (400 to 4,290)"
"80 to 100yo","ceasefire","months 1 to 3","300 (260 to 350)","900 (560 to 1,880)","610 (250 to 1,620)"
"80 to 100yo","escalation","months 1 to 3","300 (260 to 350)","1,240 (660 to 3,180)","970 (360 to 2,950)"
"80 to 100yo","status quo","months 1 to 3","310 (260 to 350)","1,110 (640 to 2,630)","830 (330 to 2,390)"
"80 to 100yo","ceasefire","months 4 to 6","290 (240 to 340)","730 (500 to 1,620)","450 (210 to 1,370)"
"80 to 100yo","escalation","months 4 to 6","290 (240 to 340)","1,100 (640 to 3,030)","830 (350 to 2,810)"
"80 to 100yo","status quo","months 4 to 6","290 (250 to 340)","960 (620 to 2,410)","680 (330 to 2,170)"
"0mo","ceasefire","total","340 (240 to 470)","440 (390 to 910)","110 (80 to 340)"
"0mo","escalation","total","340 (240 to 470)","680 (560 to 1,620)","350 (240 to 1,070)"
"0mo","status quo","total","340 (240 to 470)","560 (470 to 1,280)","220 (150 to 720)"
"1 to 11mo","ceasefire","total","0 (0 to 10)","240 (50 to 2,180)","240 (50 to 2,170)"
"1 to 11mo","escalation","total","0 (0 to 10)","1,550 (960 to 6,680)","1,540 (960 to 6,670)"
"1 to 11mo","status quo","total","0 (0 to 10)","1,170 (740 to 4,590)","1,160 (740 to 4,580)"
"12 to 59mo","ceasefire","total","20 (10 to 20)","880 (280 to 6,560)","860 (260 to 6,540)"
"12 to 59mo","escalation","total","20 (10 to 20)","7,600 (5,550 to 22,660)","7,580 (5,530 to 22,640)"
"12 to 59mo","status quo","total","20 (10 to 20)","5,870 (4,270 to 16,750)","5,860 (4,250 to 16,730)"
"5 to 9yo","ceasefire","total","10 (0 to 10)","840 (310 to 6,730)","840 (310 to 6,730)"
"5 to 9yo","escalation","total","10 (0 to 10)","8,580 (6,620 to 23,730)","8,570 (6,610 to 23,720)"
"5 to 9yo","status quo","total","10 (0 to 10)","6,680 (5,120 to 17,930)","6,680 (5,110 to 17,930)"
"10 to 14yo","ceasefire","total","0 (0 to 0)","790 (300 to 6,450)","790 (300 to 6,450)"
"10 to 14yo","escalation","total","0 (0 to 0)","8,220 (6,370 to 22,900)","8,220 (6,360 to 22,900)"
"10 to 14yo","status quo","total","0 (0 to 0)","6,410 (4,920 to 17,290)","6,410 (4,920 to 17,280)"
"15 to 19yo","ceasefire","total","10 (0 to 10)","770 (270 to 6,470)","760 (270 to 6,460)"
"15 to 19yo","escalation","total","10 (0 to 10)","7,460 (5,680 to 22,080)","7,450 (5,670 to 22,080)"
"15 to 19yo","status quo","total","10 (0 to 10)","5,800 (4,390 to 16,470)","5,790 (4,390 to 16,460)"
"20 to 29yo","ceasefire","total","20 (20 to 30)","1,520 (640 to 11,070)","1,490 (620 to 11,050)"
"20 to 29yo","escalation","total","20 (20 to 30)","16,630 (13,140 to 41,760)","16,610 (13,110 to 41,750)"
"20 to 29yo","status quo","total","20 (20 to 30)","12,950 (10,160 to 31,100)","12,920 (10,140 to 31,080)"
"30 to 39yo","ceasefire","total","50 (40 to 60)","1,420 (540 to 10,830)","1,370 (490 to 10,790)"
"30 to 39yo","escalation","total","50 (40 to 60)","13,380 (10,260 to 37,720)","13,330 (10,210 to 37,680)"
"30 to 39yo","status quo","total","50 (40 to 60)","10,390 (7,940 to 27,570)","10,350 (7,890 to 27,530)"
"40 to 49yo","ceasefire","total","120 (90 to 140)","1,240 (420 to 10,160)","1,120 (310 to 10,050)"
"40 to 49yo","escalation","total","120 (90 to 140)","7,690 (5,310 to 29,620)","7,580 (5,190 to 29,520)"
"40 to 49yo","status quo","total","120 (90 to 140)","5,990 (4,130 to 21,990)","5,880 (4,010 to 21,890)"
"50 to 59yo","ceasefire","total","250 (210 to 300)","1,270 (590 to 7,390)","1,020 (340 to 7,150)"
"50 to 59yo","escalation","total","250 (210 to 300)","6,070 (4,160 to 21,060)","5,820 (3,900 to 20,840)"
"50 to 59yo","status quo","total","250 (210 to 300)","4,770 (3,280 to 15,650)","4,520 (3,020 to 15,420)"
"60 to 69yo","ceasefire","total","360 (300 to 420)","1,340 (730 to 5,940)","980 (370 to 5,600)"
"60 to 69yo","escalation","total","360 (300 to 420)","4,730 (3,110 to 15,810)","4,380 (2,750 to 15,500)"
"60 to 69yo","status quo","total","360 (300 to 420)","3,780 (2,480 to 12,030)","3,430 (2,110 to 11,710)"
"70 to 79yo","ceasefire","total","450 (380 to 530)","1,390 (820 to 4,480)","950 (360 to 4,060)"
"70 to 79yo","escalation","total","450 (380 to 530)","2,960 (1,580 to 9,920)","2,520 (1,110 to 9,540)"
"70 to 79yo","status quo","total","450 (380 to 530)","2,430 (1,280 to 7,690)","1,990 (820 to 7,290)"
"80 to 100yo","ceasefire","total","600 (500 to 690)","1,620 (1,060 to 3,510)","1,050 (460 to 2,990)"
"80 to 100yo","escalation","total","600 (500 to 690)","2,340 (1,300 to 6,220)","1,790 (700 to 5,760)"
"80 to 100yo","status quo","total","600 (500 to 690)","2,070 (1,250 to 5,040)","1,520 (660 to 4,560)"
"all","ceasefire","months 1 to 3","1,140 (930 to 1,390)","6,680 (3,660 to 25,180)","5,550 (2,530 to 24,000)"
"all","escalation","months 1 to 3","1,140 (930 to 1,390)","42,080 (32,370 to 101,120)","40,980 (31,220 to 100,040)"
"all","status quo","months 1 to 3","1,140 (930 to 1,390)","33,050 (25,270 to 69,500)","31,940 (24,130 to 68,370)"
"all","ceasefire","months 4 to 6","1,080 (870 to 1,310)","7,090 (2,740 to 57,490)","6,020 (1,670 to 56,370)"
"all","escalation","months 4 to 6","1,080 (870 to 1,310)","45,800 (32,230 to 160,660)","44,770 (31,140 to 159,640)"
"all","status quo","months 4 to 6","1,080 (870 to 1,310)","35,820 (25,170 to 125,860)","34,780 (24,080 to 124,810)"
"all","ceasefire","total","2,220 (1,800 to 2,690)","13,770 (6,390 to 82,670)","11,580 (4,200 to 80,370)"
"all","escalation","total","2,220 (1,800 to 2,690)","87,880 (64,600 to 261,780)","85,750 (62,350 to 259,680)"
"all","status quo","total","2,220 (1,800 to 2,700)","68,880 (50,440 to 195,360)","66,720 (48,210 to 193,180)"
