"scenario","subperiod","age","base_mean","crisis_mean","excess_mean","base_lci","crisis_lci","excess_lci","base_uci","crisis_uci","excess_uci"
"escalation","months 4 to 6","5 to 9yo",1.47429598696922,4474.39094894428,4472.89058522542,1.0638666171009,3266.4478184532,3264.72383141845,1.95360843898099,14518.7784053905,14517.5554978032
"status quo","months 4 to 6","5 to 9yo",1.48033619182789,3483.11679473697,3481.64467423612,1.0723348652137,2543.95645401941,2542.32320436978,1.97075842168427,11427.2121139311,11426.1392779864
"ceasefire","months 1 to 3","10 to 14yo",1.60867988490783,335.243029859488,333.586333091157,1.20240248216545,183.367824312569,181.806787503845,2.11241487609413,1844.62581232563,1843.15920152581
"escalation","months 1 to 3","10 to 14yo",1.6085273119213,3921.21360476661,3919.58836246125,1.19951395876575,3146.72728561861,3144.83577858324,2.09760193479386,8888.10733318751,8886.94135263485
"status quo","months 1 to 3","10 to 14yo",1.61481391119704,3043.18116116735,3041.51481346238,1.20832764921682,2450.79919923082,2449.1030891225,2.11545151228132,6152.04254235365,6150.76118669192
"ceasefire","months 4 to 6","10 to 14yo",1.08520351151007,419.101649779764,418.008091076823,0.759234589293294,108.34381189711,107.306860980403,1.496619397835,4546.51886720644,4545.59708772914
"escalation","months 4 to 6","10 to 14yo",1.08512170108744,4308.97800374706,4307.88019572651,0.757685749051674,3142.63465475979,3141.2891350742,1.48867662710552,14090.3012624957,14089.5006841883
"status quo","months 4 to 6","10 to 14yo",1.08849260905267,3354.68581031062,3353.61047525757,0.762411694929648,2448.11836609416,2446.84020943716,1.49824766052253,11084.3622345065,11083.6300550599
"ceasefire","months 1 to 3","15 to 19yo",3.93894208624549,319.577371012947,315.52383127637,2.76949691963236,166.616081541252,162.80117793258,5.32160141784613,1693.28456141197,1689.84685225524
"escalation","months 1 to 3","15 to 19yo",3.93879658389184,3539.48995363907,3535.5115748262,2.76674224180412,2810.02917599721,2805.18680877272,5.30747486220691,8402.20457670232,8400.03806562139
"status quo","months 1 to 3","15 to 19yo",3.94479184731338,2742.5479303229,2738.44128432438,2.77514750996658,2187.27198232125,2182.90812969929,5.32449729960771,5680.84663429705,5678.27441351053
"ceasefire","months 4 to 6","15 to 19yo",3.27629218187166,416.320592091908,413.010090731212,2.15807522237826,99.6423428542229,96.4366087190113,4.65112191369482,4721.75290432466,4719.11061177553
"escalation","months 4 to 6","15 to 19yo",3.27623219998185,3924.41474786961,3921.05521023532,2.15693963425581,2805.33263418905,2801.22928585469,4.64529838393419,13748.9158255234,13747.1992896265
"status quo","months 4 to 6","15 to 19yo",3.27870368817065,3046.91856560615,3043.64261981559,2.16040462291924,2184.20974897814,2180.23768796544,4.65231571238473,10742.8986526853,10741.096134013
"ceasefire","months 1 to 3","20 to 29yo",12.0391655333638,658.04271042958,645.774096817939,9.07639222268596,389.872814606125,378.074810566711,15.4921378900044,2746.60622716103,2735.41555646481
"escalation","months 1 to 3","20 to 29yo",12.0387094899942,7994.46103739373,7982.46679230696,9.06775827426015,6496.89354028333,6483.39028994573,15.4478612147178,16041.3561761082,16032.6336654787
"status quo","months 1 to 3","20 to 29yo",12.0575002486617,6202.06419473398,6189.80737911141,9.09410270049285,5058.14925403244,5045.55436115,15.5012142766835,10863.3699601016,10853.861986495
"ceasefire","months 4 to 6","20 to 29yo",9.93021794415975,788.943353245331,779.003303956982,7.2534769357815,234.068590750785,224.403430187858,13.0480620245156,8203.86193915193,8195.05439714932
"escalation","months 4 to 6","20 to 29yo",9.93004833566506,8658.57211786596,8648.64086180597,7.25026585917087,6484.4422034061,6473.18424885588,13.0315949593621,25884.7679796781,25877.8414300287
"status quo","months 4 to 6","20 to 29yo",9.9370368650771,6722.51337458901,6712.75002328051,7.2600636958262,5050.08515908792,5039.02232153834,13.0514376526369,20132.6281591252,20125.5420608092
"ceasefire","months 1 to 3","30 to 39yo",25.5530312716752,617.829266698755,592.046110420834,20.2482277257822,326.302522204069,301.24648351201,31.6331436978935,2695.35366305947,2670.65082200782
"escalation","months 1 to 3","30 to 39yo",25.5521219947405,6404.11384174601,6378.93365373941,20.2310126093144,5073.66219255205,5046.84305838349,31.5448609480534,14413.5848165111,14391.9137524202
"status quo","months 1 to 3","30 to 39yo",25.5895877334746,4964.21239043263,4938.65650229349,20.2835396994421,3949.37012324725,3923.67816481049,31.6512398855758,9384.04296534863,9361.21768281471
"ceasefire","months 4 to 6","30 to 39yo",20.9751035941424,744.519301907017,723.494394247359,16.4328521958356,201.395750971077,180.883182493313,26.1068092802201,8047.15230025863,8027.17034729474
