date,North Gaza,North Gazasmooth,Gaza,Gazasmooth,Deir Al-Balah,Deir Al-Balahsmooth,Khan Younis,Khan Younissmooth,Rafah,Rafahsmooth
4/18/24,0.113976714,0.113404699,0.159331875,0.16254739,0.459081138,0.455250243,0.211793891,0.212334963,1.345514382,1.346160705
4/17/24,0.114709008,0.113915042,0.158144824,0.160564271,0.462235605,0.455872391,0.20429078,0.207688036,1.350317783,1.351658259
4/16/24,0.11513423,0.11440128,0.157251764,0.158768005,0.46415475,0.456040959,0.19786961,0.203145086,1.355287646,1.35734267
4/15/24,0.115224305,0.114870455,0.156634563,0.157127932,0.464723697,0.455679398,0.192980252,0.198754576,1.360135183,1.36326564
4/14/24,0.115396524,0.115337984,0.155756676,0.155600923,0.462667051,0.454774114,0.189518226,0.194502306,1.366359523,1.369482673
4/11/24,0.115486413,0.115825703,0.154394182,0.154137107,0.45850724,0.453380158,0.188287117,0.190307745,1.373023048,1.376047287
4/10/24,0.115476389,0.11635854,0.15289709,0.152684683,0.45374136,0.451614335,0.187780172,0.186035714,1.379802989,1.383004728
4/9/24,0.115760388,0.116960328,0.15170737,0.151193152,0.448923899,0.449637068,0.186843228,0.181522505,1.386463115,1.390384946
4/8/24,0.116371423,0.117649477,0.150481512,0.149615056,0.444126841,0.44762661,0.185024336,0.176611661,1.393693887,1.398195196
4/7/24,0.117077963,0.118435273,0.149276905,0.147906727,0.440404152,0.445750642,0.181908306,0.171191858,1.401030674,1.4064135
4/6/24,0.117985141,0.11931543,0.148219005,0.146028668,0.43814487,0.444139764,0.175445821,0.165228049,1.409903163,1.414986089
4/5/24,0.119329589,0.120275346,0.146518262,0.14394633,0.437188026,0.442866339,0.166460935,0.158778272,1.420201187,1.423831713
4/4/24,0.120888037,0.121289183,0.143832899,0.141631653,0.437302345,0.441930095,0.155512924,0.151991512,1.432161795,1.432855557
4/3/24,0.122609569,0.122322514,0.140906009,0.139065661,0.438073803,0.441250936,0.143300546,0.145086532,1.444808073,1.441972357
4/2/24,0.124186077,0.123336081,0.138335638,0.136242239,0.439463039,0.440668564,0.130777775,0.138316385,1.456935472,1.451134731
4/1/24,0.125551728,0.124290057,0.135778381,0.133172728,0.44085385,0.439948655,0.121398296,0.131926954,1.466115746,1.460359607
3/31/24,0.12654756,0.125148318,0.132961479,0.129890164,0.443043458,0.438796063,0.114739003,0.12611906,1.4724065,1.469744395
3/30/24,0.12728347,0.125882419,0.129286837,0.12645163,0.44493781,0.436876217,0.110583587,0.121022552,1.477606295,1.479465183
3/29/24,0.127886675,0.126475309,0.12449144,0.122936772,0.446361094,0.433845622,0.108711278,0.116687034,1.482247514,1.489753263
3/28/24,0.12856548,0.126924768,0.118596231,0.119441416,0.446943092,0.429390095,0.108392692,0.113089327,1.487200504,1.500852393
3/27/24,0.128943952,0.127246455,0.112260828,0.116066586,0.445389847,0.423267996,0.10755689,0.110153269,1.495546482,1.512963694
3/26/24,0.128919436,0.127476073,0.107211164,0.112905149,0.438492077,0.415352268,0.106381771,0.107775007,1.50869355,1.526189502
3/25/24,0.128587138,0.127669761,0.104698217,0.110029261,0.426402112,0.40566398,0.104955873,0.105846578,1.52505466,1.540488419
3/24/24,0.127717928,0.127901626,0.103317613,0.107481972,0.411543077,0.394389092,0.103229595,0.104272478,1.543889786,1.555652833
3/23/24,0.126435165,0.128257671,0.102699308,0.105274908,0.392962625,0.381872911,0.101312016,0.102976843,1.566288886,1.571315667
3/22/24,0.125481388,0.128826172,0.102332066,0.103391976,0.371989507,0.368589294,0.099798507,0.101902307,1.590096533,1.586988251
3/21/24,0.125280335,0.129685492,0.100821847,0.101797235,0.349567023,0.355086831,0.098812997,0.101003824,1.615215798,1.602124617
3/20/24,0.125636018,0.1308914,0.098833424,0.100444392,0.329317765,0.341918878,0.09836009,0.100241611,1.637550703,1.616201718
3/19/24,0.127213924,0.132466495,0.097704572,0.099285683,0.310804828,0.32956911,0.098664355,0.099576635,1.655310321,1.628800077
3/18/24,0.130019636,0.134394248,0.097036088,0.098278883,0.294872715,0.318386605,0.099374261,0.098970552,1.6683953,1.639667712
3/17/24,0.133737101,0.136619278,0.096987432,0.097392171,0.284675013,0.308544436,0.099782067,0.098389579,1.674516387,1.648752536
3/16/24,0.138090425,0.13905416,0.097490385,0.096607003,0.282966513,0.300031791,0.099739332,0.097810107,1.671411345,1.656194939
3/15/24,0.142822388,0.141591463,0.096550208,0.095918941,0.28619695,0.292682364,0.098996825,0.097223135,1.665131629,1.662282097
3/14/24,0.146814024,0.144118534,0.094917857,0.09533616,0.287467716,0.286232479,0.097100104,0.096635181,1.663398299,1.667375647
3/13/24,0.149946142,0.146531944,0.093373157,0.094875473,0.288498012,0.280394445,0.094811994,0.096064576,1.663068695,1.671831561
3/12/24,0.152364363,0.148748842,0.092057443,0.094556295,0.284626993,0.27492612,0.093337361,0.095534256,1.66731184,1.675932486
3/11/24,0.153864392,0.150713436,0.091324733,0.094393772,0.276176478,0.269679335,0.092783376,0.095063503,1.675549021,1.679847954
3/10/24,0.154949827,0.152398238,0.092126414,0.09439284,0.262849165,0.264616797,0.092938569,0.094661569,1.686834026,1.683628556
3/9/24,0.155906221,0.153800917,0.093223052,0.094544826,0.253249276,0.259797024,0.093748577,0.094325244,1.693570874,1.687229989
3/8/24,0.156796474,0.154938443,0.094286397,0.094827452,0.245675435,0.255336133,0.09475933,0.094041005,1.698180364,1.690554968
3/7/24,0.157350103,0.155840341,0.09515221,0.095207916,0.24147779,0.251361006,0.095108594,0.093790481,1.700609303,1.693498257
3/6/24,0.157784724,0.156542481,0.095949403,0.095647777,0.238946617,0.247968196,0.094458603,0.093556896,1.702558653,1.695982649
3/5/24,0.157950962,0.157082203,0.096585428,0.096108102,0.239198367,0.245198132,0.09367394,0.093330089,1.702289303,1.697979473
3/4/24,0.158085446,0.157494969,0.097203053,0.096553467,0.239119651,0.243027824,0.092927758,0.093108563,1.702362092,1.699513177
3/3/24,0.158124258,0.157812358,0.097655334,0.096954023,0.238895912,0.241378787,0.092242452,0.092898344,1.702780044,1.700654489
3/2/24,0.158201758,0.158060994,0.098024667,0.097285695,0.238730415,0.240133743,0.091815349,0.092709597,1.70292581,1.701507972
3/1/24,0.158301721,0.158262298,0.098301055,0.097529082,0.238598499,0.239155008,0.091873364,0.092552648,1.702623361,1.702198964
2/29/24,0.1584191,0.15843287,0.098481248,0.097667814,0.238492444,0.238299778,0.091941488,0.092434878,1.70236372,1.70286266
2/28/24,0.158572283,0.158585566,0.098576473,0.097687303,0.238723053,0.237430561,0.09203039,0.092359419,1.701795801,1.703635152
2/27/24,0.158745418,0.15873127,0.098684103,0.097574481,0.238700145,0.236421339,0.092130872,0.092325813,1.701437463,1.704645097
2/26/24,0.158917941,0.158881282,0.09868371,0.097318702,0.238391835,0.235161293,0.092230999,0.092332153,1.701473514,1.70600457
2/25/24,0.159089848,0.159049896,0.098574943,0.096913742,0.237797199,0.233558021,0.092330768,0.0923778,1.701905242,1.707798541
2/24/24,0.159237566,0.15925666,0.098127181,0.0963603,0.236311391,0.231542007,0.092416499,0.09246586,1.703605363,1.710073172
2/23/24,0.159302863,0.159527479,0.097304199,0.095668145,0.234131885,0.229071915,0.092454396,0.092604572,1.706504657,1.712825888
2/22/24,0.159288091,0.159893746,0.096108359,0.094857062,0.231371623,0.226140228,0.092445823,0.092807085,1.710484104,1.715999879
2/21/24,0.159044594,0.160389031,0.094668711,0.09395598,0.227644368,0.222777449,0.092304504,0.093089429,1.716035823,1.719486111
2/20/24,0.158921128,0.161043402,0.092980561,0.092999977,0.222819289,0.219053563,0.092232849,0.093466957,1.722744173,1.723134101
2/19/24,0.15911447,0.161876192,0.091369282,0.092025598,0.217299495,0.215074603,0.092345058,0.093949854,1.729569695,1.726771753
2/18/24,0.159911264,0.162888843,0.089985482,0.091065462,0.211139601,0.210974089,0.092807493,0.094538792,1.73585416,1.730230814
2/17/24,0.161382939,0.164059876,0.088846019,0.09014347,0.204686968,0.206899541,0.093661607,0.09522201,1.741120466,1.733373104
2/16/24,0.163896759,0.165343774,0.088009667,0.089272081,0.198616887,0.202996037,0.095120549,0.095974944,1.744054138,1.736111163
2/15/24,0.166739782,0.166674886,0.087503404,0.08845273,0.193238814,0.199389496,0.096770551,0.09676308,1.74544545,1.738417807
2/14/24,0.169735393,0.167976186,0.087465906,0.087679719,0.189850916,0.196173295,0.09850911,0.097547962,1.744136675,1.740320838
2/13/24,0.172176564,0.169171406,0.087557636,0.086946834,0.18777598,0.193401015,0.099925889,0.098295596,1.742261931,1.74188315
2/12/24,0.173909212,0.170198118,0.087433799,0.086254987,0.186792175,0.191086926,0.100931464,0.098985762,1.740631349,1.743172206
2/11/24,0.174577899,0.171019056,0.086635535,0.085618505,0.186418972,0.189213849,0.101319549,0.099620454,1.740746045,1.744226136
2/10/24,0.174647631,0.171629315,0.085283857,0.08506777,0.186493434,0.187746107,0.101360019,0.100229763,1.741913059,1.745025045
2/9/24,0.173887753,0.172058267,0.083267534,0.084646982,0.185682016,0.186644219,0.100936585,0.100874083,1.745924112,1.745474448
2/8/24,0.172945787,0.172366169,0.081355834,0.084407162,0.184676159,0.18587776,0.100442242,0.101642058,1.750277978,1.745404852
2/7/24,0.172035217,0.172636601,0.080180992,0.084396272,0.183703828,0.185433739,0.100035123,0.102644704,1.753742841,1.744586685
2/6/24,0.17113884,0.172966738,0.080310209,0.084649344,0.182746652,0.185319495,0.099773357,0.104006731,1.755728942,1.742755693
