"scenario","age","gender","period","mean","lci","uci","deaths"
"ceasefire","60 to 69yo","female","months 4 to 6","25","22","28","25 (22 to 28)"
"escalation","60 to 69yo","female","months 4 to 6","658","547","777","658 (547 to 777)"
"status quo","60 to 69yo","female","months 4 to 6","503","405","604","503 (405 to 604)"
"ceasefire","70 to 79yo","female","months 4 to 6","10","9","11","10 (9 to 11)"
"escalation","70 to 79yo","female","months 4 to 6","200","109","288","200 (109 to 288)"
"status quo","70 to 79yo","female","months 4 to 6","140","53","225","140 (53 to 225)"
"ceasefire","80 to 100yo","female","months 4 to 6","5","4","5","5 (4 to 5)"
"escalation","80 to 100yo","female","months 4 to 6","43","0","131","43 (0 to 131)"
"status quo","80 to 100yo","female","months 4 to 6","27","0","103","27 (0 to 103)"
"ceasefire","0mo","male","total","2","2","3","2 (2 to 3)"
"escalation","0mo","male","total","11","0","50","11 (0 to 50)"
"status quo","0mo","male","total","7","0","40","7 (0 to 40)"
"ceasefire","1 to 11mo","male","total","27","24","30","27 (24 to 30)"
"escalation","1 to 11mo","male","total","567","499","646","567 (499 to 646)"
"status quo","1 to 11mo","male","total","442","384","507","442 (384 to 507)"
"ceasefire","12 to 59mo","male","total","152","136","171","152 (136 to 171)"
"escalation","12 to 59mo","male","total","3,249","2,871","3,701","3,249 (2,871 to 3,701)"
"status quo","12 to 59mo","male","total","2,537","2,211","2,900","2,537 (2,211 to 2,900)"
"ceasefire","5 to 9yo","male","total","173","155","194","173 (155 to 194)"
"escalation","5 to 9yo","male","total","3,729","3,296","4,235","3,729 (3,296 to 4,235)"
"status quo","5 to 9yo","male","total","2,918","2,550","3,331","2,918 (2,550 to 3,331)"
"ceasefire","10 to 14yo","male","total","184","164","206","184 (164 to 206)"
"escalation","10 to 14yo","male","total","3,972","3,515","4,514","3,972 (3,515 to 4,514)"
"status quo","10 to 14yo","male","total","3,111","2,716","3,555","3,111 (2,716 to 3,555)"
"ceasefire","15 to 19yo","male","total","175","157","197","175 (157 to 197)"
"escalation","15 to 19yo","male","total","3,783","3,347","4,299","3,783 (3,347 to 4,299)"
